Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Color_TCU,Phosphate,PO4_P,Fecal_Coliform
2020,1,1,"Inland Fisheries, Leganes",C,6.6,2.0,47.0,8.1,28.9,10.0,0.263,,3300.0
2020,1,10,Alibunan Upstream (Class A),A,6.3,11.0,9.0,8.5,24.4,10.0,1.235,,2300.0
2020,1,2,Barotac Nuevo Bridge,C,4.6,1.0,69.0,8.2,27.3,5.0,0.395,,7900.0
2020,1,3,Moroboro Dam,C,6.6,1.0,18.0,7.6,26.0,5.0,0.258,,930.0
2020,1,4,Duenas Bridge,C,5.6,1.0,52.0,7.7,24.7,10.0,0.493,,9400.0
2020,1,5,Downstream Passi II,C,7.5,2.0,44.0,7.2,27.2,10.0,0.341,,70000.0
2020,1,6,Downstream Passi I,C,7.5,9.0,70.0,7.1,25.2,10.0,0.567,,23000.0
2020,1,7,Upstream Passi I,C,5.3,1.0,55.0,8.6,26.4,10.0,0.594,,110000.0
2020,1,8,Calinog Bridge (Class A),A,7.2,2.0,116.0,8.3,24.9,10.0,1.018,,92000.0
2020,1,9,"Alibunan Bridge, Upstream of Confluence (Class A)",A,6.9,2.0,184.0,8.4,24.7,10.0,0.283,,4900.0
2020,2,1,"Inland Fisheries, Leganes",C,9.3,3.0,36.0,7.0,29.0,5.0,0.111,,1300.0
2020,2,10,Alibunan Upstream (Class A),A,8.6,2.0,4.0,7.0,25.0,5.0,0.196,,54000.0
2020,2,2,Barotac Nuevo Bridge,C,8.0,1.0,39.0,7.0,29.0,10.0,0.401,,4900.0
2020,2,3,Moroboro Dam,C,7.2,2.0,22.0,7.0,29.0,5.0,0.292,,450.0
2020,2,4,Duenas Bridge,C,7.8,1.0,81.0,7.0,29.0,10.0,0.588,,24000.0
2020,2,5,Downstream Passi II,C,6.4,24.0,50.0,7.0,29.0,10.0,0.443,,92000.0
2020,2,6,Downstream Passi I,C,7.4,17.0,45.0,7.0,28.0,10.0,0.492,,54000.0
2020,2,7,Upstream Passi I,C,7.9,1.0,37.0,7.0,27.0,10.0,0.357,,54000.0
2020,2,8,Calinog Bridge (Class A),A,8.7,2.0,35.0,7.0,24.0,5.0,0.377,,170000.0
2020,2,9,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.5,1.0,47.0,7.0,25.0,5.0,0.438,,92000.0
2020,3,1,"Inland Fisheries, Leganes",C,8.7,3.0,78.0,7.9,28.3,20.0,0.627,,31000.0
2020,3,10,Alibunan Upstream (Class A),A,8.9,2.0,36.0,8.2,27.1,10.0,0.337,,17000.0
2020,3,2,Barotac Nuevo Bridge,C,8.8,2.0,213.0,8.0,27.2,20.0,0.146,,46000.0
2020,3,3,Moroboro Dam,C,8.4,2.0,46.0,7.9,28.0,20.0,0.537,,5400.0
2020,3,4,Duenas Bridge,C,8.6,2.0,135.0,8.2,29.2,10.0,0.815,,24000.0
2020,3,5,Downstream Passi II,C,8.8,10.0,183.0,7.9,27.6,15.0,0.551,,170000.0
2020,3,6,Downstream Passi I,C,8.8,41.0,95.0,8.0,26.9,20.0,0.569,,24000.0
2020,3,7,Upstream Passi I,C,8.2,2.0,103.0,7.0,26.9,15.0,0.809,,35000.0
2020,3,8,Calinog Bridge (Class A),A,8.7,1.0,55.0,8.0,25.9,10.0,0.448,,40000.0
2020,3,9,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.6,1.0,144.0,8.2,27.3,15.0,0.713,,35000.0
2020,4,1,"Inland Fisheries, Leganes",C,3.4,2.0,83.0,7.0,33.0,25.0,0.606,,54000.0
2020,4,10,Alibunan Upstream (Class A),A,4.4,2.0,27.0,8.0,28.0,10.0,0.455,,2200.0
