Sample_ID,Sample_Name,Reading_Index,pH,pH_Level,TDS_mgL,TDS_Level,EC_uScm,EC_Level,Temp_C,Temp_Level,Turbidity_NTU,Turbidity_Level,Overall_Suitability_Level
1,Water 1 - 2 Days Old Water,1,9.49,1,52.3,2,147.5,2,25.18,3,11.4,3,3
1,Water 1 - 2 Days Old Water,2,9.42,1,58.1,2,152.3,3,26.56,3,7.8,4,4
1,Water 1 - 2 Days Old Water,3,9.45,1,54.6,2,148.5,2,29.74,3,12.4,3,3
1,Water 1 - 2 Days Old Water,4,9.46,1,61.2,2,150.7,3,25.61,3,13.9,3,3
1,Water 1 - 2 Days Old Water,5,9.57,1,55.8,2,150.9,3,25.21,3,9.2,4,4
1,Water 1 - 2 Days Old Water,6,9.51,1,63.4,2,150.4,3,28.54,3,7.2,4,4
1,Water 1 - 2 Days Old Water,7,9.52,1,57.9,2,152.0,3,26.39,3,5.3,4,4
1,Water 1 - 2 Days Old Water,8,9.48,1,60.5,2,153.0,3,28.81,3,11.5,3,3
1,Water 1 - 2 Days Old Water,9,9.44,1,56.7,2,151.9,3,29.12,3,7.2,4,4
1,Water 1 - 2 Days Old Water,10,9.4,1,59.3,2,150.0,3,25.05,3,13.1,3,3
2,Water 2 - Refrigerated Muddy Water,1,5.44,1,37.6,1,76.11,1,18.62,1,68.64,1,1
2,Water 2 - Refrigerated Muddy Water,2,5.35,1,39.98,1,87.74,1,19.35,1,71.14,1,1
2,Water 2 - Refrigerated Muddy Water,3,5.49,1,40.48,1,86.1,1,18.54,1,70.63,1,1
2,Water 2 - Refrigerated Muddy Water,4,5.42,1,40.05,1,87.69,1,18.38,1,67.25,1,1
2,Water 2 - Refrigerated Muddy Water,5,5.71,1,39.4,1,93.78,1,19.32,1,68.84,1,1
2,Water 2 - Refrigerated Muddy Water,6,5.48,1,40.23,1,78.2,1,18.02,1,60.85,1,1
2,Water 2 - Refrigerated Muddy Water,7,5.79,1,41.95,1,82.63,1,20.25,1,66.48,1,1
2,Water 2 - Refrigerated Muddy Water,8,5.79,1,39.65,1,76.96,1,20.3,1,60.25,1,1
2,Water 2 - Refrigerated Muddy Water,9,5.68,1,42.74,1,94.61,1,20.36,1,67.24,1,1
2,Water 2 - Refrigerated Muddy Water,10,5.22,1,35.3,1,82.9,1,20.05,1,59.14,1,1
3,Water 3 - Cold Water with Soil Suspension,1,5.67,1,38.95,1,85.58,1,19.01,1,57.28,1,1
3,Water 3 - Cold Water with Soil Suspension,2,5.71,1,40.21,1,94.17,1,19.14,1,55.38,1,1
3,Water 3 - Cold Water with Soil Suspension,3,5.6,1,42.44,1,93.75,1,19.88,1,63.12,1,1
3,Water 3 - Cold Water with Soil Suspension,4,5.87,1,39.44,1,95.55,1,20.5,1,63.96,1,1
3,Water 3 - Cold Water with Soil Suspension,5,5.74,1,42.49,1,81.74,1,19.36,1,54.79,1,1
3,Water 3 - Cold Water with Soil Suspension,6,5.57,1,39.6,1,83.74,1,20.4,1,64.33,1,1
3,Water 3 - Cold Water with Soil Suspension,7,5.82,1,47.31,1,82.11,1,21.06,1,54.98,1,1
3,Water 3 - Cold Water with Soil Suspension,8,5.53,1,41.16,1,90.54,1,19.12,1,55.46,1,1
3,Water 3 - Cold Water with Soil Suspension,9,5.66,1,47.05,1,87.19,1,20.04,1,57.94,1,1
3,Water 3 - Cold Water with Soil Suspension,10,5.54,1,47.68,1,96.61,1,20.8,1,58.38,1,1
4,Water 4 - Lightly Turbid Cool Water,1,6.46,2,83.03,2,131.17,2,23.81,2,30.08,2,2
4,Water 4 - Lightly Turbid Cool Water,2,6.8,2,119.87,2,113.74,2,24.12,2,39.53,2,2
4,Water 4 - Lightly Turbid Cool Water,3,6.3,2,81.67,2,135.06,2,22.66,2,33.38,2,2
4,Water 4 - Lightly Turbid Cool Water,4,6.87,2,78.06,2,125.13,2,24.31,2,44.74,2,2
4,Water 4 - Lightly Turbid Cool Water,5,6.73,2,102.99,2,142.19,2,23.01,2,44.92,2,2
4,Water 4 - Lightly Turbid Cool Water,6,6.43,2,114.24,2,129.44,2,23.06,2,39.63,2,2
4,Water 4 - Lightly Turbid Cool Water,7,6.58,2,143.86,2,131.67,2,23.38,2,31.88,2,2
4,Water 4 - Lightly Turbid Cool Water,8,6.81,2,86.08,2,131.68,2,23.89,2,47.08,2,2
4,Water 4 - Lightly Turbid Cool Water,9,6.25,2,114.85,2,111.87,2,23.78,2,39.09,2,2
4,Water 4 - Lightly Turbid Cool Water,10,6.69,2,132.96,2,114.25,2,24.22,2,30.98,2,2
5,Water 5 - Slightly Acidic Water,1,8.67,1,89.9,2,135.9,2,26.84,3,5.4,4,4
5,Water 5 - Slightly Acidic Water,2,8.59,1,81.7,2,141.8,2,31.28,3,5.5,4,4
5,Water 5 - Slightly Acidic Water,3,8.51,1,82.0,2,139.7,2,26.54,3,4.4,4,4
5,Water 5 - Slightly Acidic Water,4,8.44,4,81.7,2,140.7,2,28.57,3,8.0,4,4
5,Water 5 - Slightly Acidic Water,5,8.43,4,82.0,2,141.4,2,25.33,3,2.5,4,4
5,Water 5 - Slightly Acidic Water,6,8.36,4,82.2,2,142.8,2,29.39,3,2.7,4,4
5,Water 5 - Slightly Acidic Water,7,8.34,4,81.5,2,140.1,2,27.96,3,6.8,4,4
5,Water 5 - Slightly Acidic Water,8,8.29,4,81.8,2,141.9,2,27.67,3,2.4,4,4
5,Water 5 - Slightly Acidic Water,9,8.25,4,81.4,2,142.5,2,28.7,3,8.0,4,4
5,Water 5 - Slightly Acidic Water,10,8.25,4,81.7,2,144.2,2,31.03,3,7.8,4,4
6,Water 6 - Water with Fabcon,1,9.52,1,308.1,4,402.3,4,28.76,3,7.7,4,4
6,Water 6 - Water with Fabcon,2,10.46,1,216.7,3,365.2,4,28.18,3,14.5,3,4
6,Water 6 - Water with Fabcon,3,10.81,1,239.5,3,375.1,4,26.25,3,14.1,3,4
6,Water 6 - Water with Fabcon,4,10.81,1,244.8,3,395.8,4,29.26,3,6.5,4,4
6,Water 6 - Water with Fabcon,5,10.64,1,280.9,4,416.8,4,28.71,3,5.0,4,4
6,Water 6 - Water with Fabcon,6,9.99,1,202.9,3,439.4,4,31.15,3,13.3,3,4
6,Water 6 - Water with Fabcon,7,9.96,1,208.7,3,431.7,4,31.63,3,5.9,4,4
6,Water 6 - Water with Fabcon,8,10.23,1,210.4,3,414.1,4,30.36,3,6.3,4,4
6,Water 6 - Water with Fabcon,9,10.21,1,282.5,4,339.8,4,31.11,3,9.2,4,4
