Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2020.0,1.0,1.0,"Inland Fisheries, Leganes",C,6.6,2.0,47.0,8.1,28.9,3300.0,0.22837370242214533,1.0999999999999996,711.6442142857143,High Risk
2020.0,1.0,2.0,Barotac Nuevo Bridge,C,4.6,1.0,69.0,8.2,27.3,7900.0,0.16849816849816848,1.1999999999999993,1657.1215238095238,High Risk
2020.0,1.0,3.0,Moroboro Dam,C,6.6,1.0,18.0,7.6,26.0,930.0,0.25384615384615383,0.5999999999999996,215.33219047619048,High Risk
2020.0,1.0,4.0,Duenas Bridge,C,5.6,1.0,52.0,7.7,24.7,9400.0,0.22672064777327935,0.7000000000000002,1955.235357142857,High Risk
2020.0,1.0,5.0,Downstream Passi II,C,7.5,2.0,44.0,7.2,27.2,70000.0,0.2757352941176471,0.20000000000000018,14368.625047619047,High Risk
2020.0,1.0,6.0,Downstream Passi I,C,7.5,9.0,70.0,7.1,25.2,23000.0,0.2976190476190476,0.09999999999999964,4750.724880952381,High Risk
2020.0,1.0,7.0,Upstream Passi I,C,5.3,1.0,55.0,8.6,26.4,110000.0,0.20075757575757577,1.5999999999999996,22576.466523809522,High Risk
2020.0,1.0,8.0,Calinog Bridge (Class A),A,7.2,2.0,116.0,8.3,24.9,92000.0,0.28915662650602414,1.3000000000000007,18887.74921428571,High Risk
2020.0,1.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,6.9,2.0,184.0,8.4,24.7,4900.0,0.2793522267206478,1.4000000000000004,1047.8057142857142,High Risk
2020.0,2.0,1.0,"Inland Fisheries, Leganes",C,9.3,3.0,36.0,7.0,29.0,1300.0,0.3206896551724138,0.0,290.1789047619048,High Risk
2020.0,2.0,10.0,Alibunan Upstream (Class A),A,8.6,2.0,4.0,7.0,25.0,54000.0,0.344,0.0,11080.973714285714,High Risk
2020.0,2.0,2.0,Barotac Nuevo Bridge,C,8.0,1.0,39.0,7.0,29.0,4900.0,0.27586206896551724,0.0,1026.9841904761904,High Risk
2020.0,2.0,3.0,Moroboro Dam,C,7.2,2.0,22.0,7.0,29.0,450.0,0.2482758620689655,0.0,117.29804761904762,High Risk
2020.0,2.0,4.0,Duenas Bridge,C,7.8,1.0,81.0,7.0,29.0,24000.0,0.2689655172413793,0.0,4944.428190476191,High Risk
2020.0,2.0,6.0,Downstream Passi I,C,7.4,17.0,45.0,7.0,28.0,54000.0,0.2642857142857143,0.0,11118.168571428572,High Risk
2020.0,2.0,7.0,Upstream Passi I,C,7.9,1.0,37.0,7.0,27.0,54000.0,0.2925925925925926,0.0,11085.428523809524,High Risk
2020.0,2.0,8.0,Calinog Bridge (Class A),A,8.7,2.0,35.0,7.0,24.0,170000.0,0.3625,0.0,34851.71071428571,High Risk
2020.0,2.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.5,1.0,47.0,7.0,25.0,92000.0,0.34,0.0,18869.031857142858,High Risk
2020.0,3.0,1.0,"Inland Fisheries, Leganes",C,8.7,3.0,78.0,7.9,28.3,31000.0,0.3074204946996466,0.9000000000000004,6385.517071428571,High Risk
2020.0,3.0,10.0,Alibunan Upstream (Class A),A,8.9,2.0,36.0,8.2,27.1,17000.0,0.3284132841328413,1.1999999999999993,3511.8447142857144,High Risk
2020.0,3.0,2.0,Barotac Nuevo Bridge,C,8.8,2.0,213.0,8.0,27.2,46000.0,0.3235294117647059,1.0,9467.462047619047,High Risk
2020.0,3.0,3.0,Moroboro Dam,C,8.4,2.0,46.0,7.9,28.0,5400.0,0.3,0.9000000000000004,1135.8672142857142,High Risk
2020.0,3.0,4.0,Duenas Bridge,C,8.6,2.0,135.0,8.2,29.2,24000.0,0.2945205479452055,1.1999999999999993,4957.173714285715,High Risk
2020.0,3.0,7.0,Upstream Passi I,C,8.2,2.0,103.0,7.0,26.9,35000.0,0.3048327137546468,0.0,7198.889047619047,High Risk
2020.0,3.0,8.0,Calinog Bridge (Class A),A,8.7,1.0,55.0,8.0,25.9,40000.0,0.3359073359073359,1.0,8222.016857142857,High Risk
2020.0,3.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,8.6,1.0,144.0,8.2,27.3,35000.0,0.315018315018315,1.1999999999999993,7207.8615238095235,High Risk
2020.0,4.0,1.0,"Inland Fisheries, Leganes",C,3.4,2.0,83.0,7.0,33.0,54000.0,0.10303030303030303,0.0,11106.85838095238,High Risk
2020.0,4.0,10.0,Alibunan Upstream (Class A),A,4.4,2.0,27.0,8.0,28.0,2200.0,0.15714285714285717,1.0,487.4847142857143,High Risk
2020.0,4.0,2.0,Barotac Nuevo Bridge,C,3.4,4.0,135.0,7.0,30.0,11000.0,0.11333333333333333,0.0,2300.8880952380955,High Risk
2020.0,4.0,3.0,Moroboro Dam,C,3.3,3.0,63.0,8.0,29.0,14000.0,0.11379310344827585,1.0,2913.4779047619045,High Risk
2020.0,4.0,4.0,Duenas Bridge,C,4.1,3.0,146.0,8.0,30.0,17000.0,0.13666666666666666,1.0,3534.437238095238,High Risk
2020.0,4.0,5.0,Downstream Passi II,C,3.3,3.0,160.0,8.0,29.0,35000.0,0.11379310344827585,1.0,7224.331904761905,High Risk
2020.0,4.0,7.0,Upstream Passi I,C,3.4,2.0,157.0,8.0,28.0,92000.0,0.12142857142857143,1.0,18900.214714285714,High Risk
2020.0,4.0,8.0,Calinog Bridge (Class A),A,3.2,3.0,69.0,8.0,27.0,40000.0,0.11851851851851852,1.0,8239.388238095238,High Risk
2020.0,4.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,3.6,1.0,122.0,8.0,27.0,54000.0,0.13333333333333333,1.0,11107.768523809524,High Risk
2020.0,5.0,1.0,"Inland Fisheries, Leganes",C,6.8,2.0,643.0,7.8,29.8,49000.0,0.22818791946308722,0.7999999999999998,10123.053714285714,High Risk
2020.0,5.0,10.0,Alibunan Upstream (Class A),A,9.0,1.0,60.0,8.0,26.1,9200.0,0.3448275862068965,1.0,1911.1105238095238,High Risk
2020.0,5.0,2.0,Barotac Nuevo Bridge,C,7.6,2.0,719.0,7.8,29.5,49000.0,0.2576271186440678,0.7999999999999998,10127.317714285715,High Risk
2020.0,5.0,3.0,Moroboro Dam,C,6.4,2.0,228.0,7.8,28.8,24000.0,0.22222222222222224,0.7999999999999998,4966.250380952381,High Risk
2020.0,5.0,4.0,Duenas Bridge,C,7.8,1.0,415.0,7.8,28.6,110000.0,0.2727272727272727,0.7999999999999998,22598.022857142856,High Risk
2020.0,5.0,5.0,Downstream Passi II,C,7.4,2.0,431.0,7.7,27.6,240000.0,0.26811594202898553,0.7000000000000002,49237.278880952384,High Risk
2020.0,5.0,6.0,Downstream Passi I,C,7.0,2.0,274.0,7.7,27.6,49000.0,0.25362318840579706,0.7000000000000002,10089.324880952381,High Risk
2020.0,5.0,7.0,Upstream Passi I,C,7.7,2.0,544.0,7.7,27.2,13000.0,0.28308823529411764,0.7000000000000002,2733.192547619047,High Risk
2020.0,5.0,8.0,Calinog Bridge (Class A),A,7.4,1.0,332.0,7.9,26.4,7900.0,0.28030303030303033,0.9000000000000004,1669.9970238095239,High Risk
2020.0,5.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,7.5,1.0,180.0,8.0,26.1,9400.0,0.28735632183908044,1.0,1965.0055238095238,High Risk
2020.0,6.0,1.0,"Inland Fisheries, Leganes",C,7.7,7.0,50.0,7.0,29.0,140000.0,0.2655172413793104,0.0,28721.728333333333,High Risk
2020.0,6.0,10.0,Alibunan Upstream (Class A),A,8.6,2.0,16.0,7.0,26.0,84000.0,0.33076923076923076,0.0,17230.051047619047,High Risk
2020.0,6.0,3.0,Moroboro Dam,C,7.8,5.0,213.0,7.0,28.0,92000.0,0.2785714285714286,0.0,18894.850285714285,High Risk
